date,ncumul_tested,ncumul_conf
2020-02-13,5,0
2020-02-15,1,0
2020-02-16,2,0
2020-02-19,1,0
2020-02-20,1,0
2020-02-22,5,0
2020-02-23,3,0
2020-02-25,2,0
2020-02-26,2,0
2020-02-27,5,0
2020-02-28,7,0
2020-02-29,6,0
2020-03-01,12,0
2020-03-03,17,0
2020-03-04,6,0
2020-03-05,29,0
2020-03-06,38,0
2020-03-07,41,0
2020-03-08,35,0
2020-03-09,13,0
2020-03-10,104,0
2020-03-11,195,0
2020-03-12,300,2
2020-03-13,418,0
2020-03-14,346,0
2020-03-15,267,0
2020-03-16,412,0
2020-03-17,543,9
2020-03-18,451,4
2020-03-19,263,1
2020-03-20,178,0
2020-03-21,269,1
2020-03-22,264,2
2020-03-23,278,3
2020-03-24,352,0
2020-03-25,734,14
2020-03-26,606,13
2020-03-27,917,17
2020-03-28,209,9
2020-03-29,1207,12
2020-03-30,378,19
2020-03-31,1110,13
2020-04-01,1294,43
2020-04-02,626,17
2020-04-03,567,10
2020-04-04,488,8
2020-04-05,458,3
2020-04-06,778,12
2020-04-07,477,3
2020-04-08,550,2
2020-04-09,962,9
2020-04-10,174,8
2020-04-11,849,0
2020-04-12,32,1
2020-04-13,365,0
2020-04-14,303,1
2020-04-15,448,2
2020-04-16,507,3
2020-04-17,340,2
2020-04-18,570,1
2020-04-19,257,0
2020-04-20,314,0
2020-04-21,425,5
2020-04-22,324,0
2020-04-23,786,4
2020-04-24,434,5
2020-04-25,341,0
2020-04-26,372,0
2020-04-27,321,1
2020-04-28,354,2
2020-04-29,309,1
2020-04-30,500,3
2020-05-01,686,0
2020-05-02,457,1
2020-05-03,395,0
2020-05-04,333,1
2020-05-05,452,2
2020-05-06,527,1
2020-05-07,452,0
2020-05-08,420,0
2020-05-09,473,2
2020-05-10,283,2
2020-05-11,335,0
2020-05-12,401,0
2020-05-13,305,0
2020-05-14,502,0
2020-05-15,660,1
2020-05-16,585,0
2020-05-17,449,0
2020-05-18,316,0
2020-05-19,258,0
2020-05-20,347,0
2020-05-21,623,0
2020-05-22,465,0
2020-05-23,610,0
2020-05-24,375,0
2020-05-25,385,2
2020-05-26,785,0
2020-05-27,516,0
2020-05-28,962,0
2020-05-29,582,0
2020-05-30,820,0
2020-05-31,686,0
2020-06-01,285,3
2020-06-02,583,1
2020-06-03,791,2
2020-06-04,505,0
2020-06-05,469,0
2020-06-06,1120,0
2020-06-07,370,0
2020-06-08,342,0
2020-06-09,546,0
2020-06-10,580,1
2020-06-11,699,1
2020-06-12,513,1
2020-06-13,691,0
2020-06-14,724,0
2020-06-15,154,0
2020-06-16,300,0
2020-06-17,467,1
2020-06-18,576,3
2020-06-19,561,0
2020-06-20,725,0
2020-06-21,401,0
2020-06-22,137,0
2020-06-23,385,0
2020-06-24,396,0
2020-06-25,486,0
2020-06-26,605,2
2020-06-27,891,1
2020-06-28,406,1
2020-06-29,253,0
2020-06-30,506,0
2020-07-01,512,0
2020-07-02,640,0
2020-07-03,293,0
2020-07-04,687,0
2020-07-05,797,0
2020-07-06,290,0
2020-07-07,665,0
2020-07-08,394,0
2020-07-09,932,0
2020-07-10,799,0
2020-07-11,1102,0
2020-07-12,573,4
2020-07-13,305,1
2020-07-14,506,0
2020-07-15,736,1
2020-07-16,841,5
2020-07-17,700,1
2020-07-18,1438,5
2020-07-19,636,13
2020-07-20,1211,9
2020-07-21,751,7
2020-07-22,1278,6
2020-07-23,1654,6
2020-07-24,1416,4
2020-07-25,1606,7
2020-07-26,836,4
2020-07-27,738,5
2020-07-28,670,1
2020-07-29,1184,3
2020-07-30,1075,5
2020-07-31,1864,4
2020-08-01,1365,14
2020-08-02,1108,5
2020-08-03,1037,3
2020-08-04,1063,4
2020-08-05,613,25
2020-08-06,894,24
2020-08-07,2114,20
2020-08-08,1570,27
2020-08-09,1370,10
2020-08-10,1064,7
2020-08-11,1560,14
2020-08-12,1830,29
2020-08-13,2300,40
2020-08-14,1949,33
2020-08-15,1836,21
2020-08-16,1740,40
2020-08-17,1037,15
2020-08-18,1408,8
2020-08-19,1611,50
2020-08-20,2346,29
2020-08-21,1906,30
2020-08-22,1350,97
2020-08-23,1562,25
2020-08-24,1476,26
2020-08-25,1210,34
2020-08-26,1436,19
2020-08-27,1259,43
2020-08-28,1719,42
2020-08-29,2012,24
2020-08-30,1738,21
2020-08-31,581,17
2020-09-01,1594,15
2020-09-02,1341,14
2020-09-03,1746,18
2020-09-04,1765,22
2020-09-05,1716,12
2020-09-06,1071,17
2020-09-07,1222,18
2020-09-08,670,3
2020-09-09,1173,17
2020-09-10,1470,16
2020-09-11,1522,21
2020-09-12,1437,10
2020-09-13,1052,27
2020-09-14,1448,17
2020-09-15,1271,27
2020-09-16,1408,34
2020-09-17,1358,15
2020-09-18,1626,21
2020-09-19,1425,31
2020-09-20,1477,31
2020-09-21,1205,30
2020-09-22,1695,31
2020-09-23,1604,30
2020-09-24,2354,69
2020-09-25,2631,52
2020-09-26,2191,45
2020-09-27,1596,24
2020-09-28,1405,47
2020-09-29,2446,34
2020-09-30,1803,42
2020-10-01,1448,34
2020-10-02,2314,48
2020-10-03,2068,41
2020-10-04,1235,35
2020-10-05,1904,50
2020-10-06,2383,66
2020-10-07,2730,94
2020-10-08,3194,106
2020-10-09,2371,77
2020-10-10,3311,109
2020-10-11,2048,90
2020-10-12,2184,84
2020-10-13,2198,176
2020-10-14,2115,127
2020-10-15,2173,85
2020-10-16,2724,87
2020-10-17,2509,77
2020-10-18,1743,86
2020-10-19,2242,132
2020-10-20,2239,146
2020-10-21,2360,184
2020-10-22,2621,172
2020-10-23,2282,150
2020-10-24,2315,157
2020-10-25,2233,161
2020-10-26,1738,188
2020-10-27,3402,216
2020-10-28,3640,394
2020-10-29,3220,240
2020-10-30,2493,210
2020-10-31,4070,377
2020-11-01,2779,186
2020-11-02,2507,242
2020-11-03,3538,291
2020-11-04,4320,384
2020-11-05,3610,335
2020-11-06,4212,382
2020-11-07,3795,327
2020-11-08,3478,363
2020-11-09,2222,343
2020-11-10,5513,581
2020-11-11,3861,398
2020-11-12,3955,491
2020-11-13,3128,374
2020-11-14,2789,419
2020-11-15,2443,321
2020-11-16,3193,405
2020-11-17,3206,479
2020-11-18,3358,406
2020-11-19,3291,430
2020-11-20,3284,437
2020-11-21,3056,365
2020-11-22,3122,450
2020-11-23,3599,492
2020-11-24,2933,344
2020-11-25,2232,339
2020-11-26,3363,421
2020-11-27,2967,430
2020-11-28,3220,347
2020-11-29,2860,360
2020-11-30,2308,303
2020-12-01,2217,305
2020-12-02,2953,422
2020-12-03,3176,376
2020-12-04,3072,408
2020-12-05,2327,323
2020-12-06,1921,256
2020-12-07,2354,308
2020-12-08,2352,290
2020-12-09,2566,326
2020-12-10,2755,430
2020-12-11,2799,371
2020-12-12,2187,263
2020-12-13,2147,276
2020-12-14,1577,250
2020-12-15,2421,318
2020-12-16,2261,249
2020-12-17,2181,335
2020-12-18,2522,253
2020-12-19,2315,246
2020-12-20,1979,174
2020-12-21,1516,164
2020-12-22,2222,221
2020-12-23,2178,239
2020-12-24,1744,179
2020-12-25,1336,222
2020-12-26,1247,143
2020-12-27,1104,136
2020-12-28,1385,136
2020-12-29,1208,126
2020-12-30,2115,217
2020-12-31,1500,150
2021-01-01,1987,193
2021-01-02,1104,112
2021-01-03,1307,156
2021-01-04,1318,130
2021-01-05,1839,168
2021-01-06,2108,180
2021-01-07,2371,247
2021-01-08,2140,226
2021-01-09,1538,159
2021-01-10,1563,145
2021-01-11,1363,116
2021-01-12,1799,142
2021-01-13,2228,278
2021-01-14,2011,191
2021-01-15,2023,213
2021-01-16,2074,206
2021-01-17,1349,116
2021-01-18,1453,124
2021-01-19,1875,158
2021-01-20,2286,223
2021-01-21,2110,205
2021-01-22,1958,237
2021-01-23,2071,317
2021-01-24,1678,171
2021-01-25,1154,48
2021-01-26,1610,110
2021-01-27,2308,197
2021-01-28,2280,190
2021-01-29,2045,164
2021-01-30,1506,82
2021-01-31,1670,63
2021-02-01,1440,94
2021-02-02,1841,108
2021-02-03,2255,150
2021-02-04,2310,128
2021-02-05,1578,107
2021-02-06,1427,82
2021-02-07,1407,70
2021-02-08,1345,60
2021-02-09,1642,67
2021-02-10,1916,106
2021-02-11,1987,108
2021-02-12,1611,107
2021-02-13,1606,90
2021-02-14,1325,98
2021-02-15,1455,88
2021-02-16,1145,57
2021-02-17,1874,135
2021-02-18,2533,135
2021-02-19,1714,96
2021-02-20,2098,141
2021-02-21,1893,126
2021-02-22,1407,59
2021-02-23,1828,51
2021-02-24,2320,95
2021-02-25,1983,74
2021-02-26,1711,92
2021-02-27,1880,72
2021-02-28,1287,40
2021-03-01,1323,57
2021-03-02,1771,50
2021-03-03,2232,59
2021-03-04,2103,75
2021-03-05,1693,62
2021-03-06,1717,94
2021-03-07,1424,66
2021-03-08,1260,48
2021-03-09,1947,63
2021-03-10,2151,83
2021-03-11,2320,174
2021-03-12,1950,116
2021-03-13,1647,121
2021-03-14,1555,74
2021-03-15,1552,100
2021-03-16,2032,62
2021-03-17,2568,169
2021-03-18,2264,146
2021-03-19,2095,139
2021-03-20,1770,95
2021-03-21,1593,64
2021-03-22,1705,124
2021-03-23,2497,69
2021-03-24,2829,138
2021-03-25,2054,129
2021-03-26,2140,76
2021-03-27,1965,87
2021-03-28,1715,81
2021-03-29,1179,54
2021-03-30,2280,70
2021-03-31,1615,69
2021-04-01,2416,148
2021-04-02,1515,60
2021-04-03,1549,96
2021-04-04,1386,69
2021-04-05,1557,75
2021-04-06,2306,115
2021-04-07,2346,138
2021-04-08,2904,192
2021-04-09,2298,146
2021-04-10,2237,137
2021-04-11,2153,147
2021-04-12,2100,101
2021-04-13,2803,131
2021-04-14,2980,174
2021-04-15,3063,145
2021-04-16,3144,222
2021-04-17,2410,155
2021-04-18,2588,135
2021-04-19,2551,213
2021-04-20,3248,187
2021-04-21,3831,289
2021-04-22,3898,262
2021-04-23,3121,240
2021-04-24,3110,282
2021-04-25,2912,221
2021-04-26,2921,205
2021-04-27,3743,246
2021-04-28,3597,251
2021-04-29,3875,302
2021-04-30,4180,363
2021-05-01,3336,309
2021-05-02,3071,241
2021-05-03,2970,281
2021-05-04,3098,270
2021-05-05,4114,420
2021-05-06,4805,534
2021-05-07,4791,568
2021-05-08,4382,534
2021-05-09,3925,513
